id,name,category,price,vendor_id,stock
77,Streamlined leadingedge focus group,Books,13653.79,39,107
78,Enterprise-wide optimal Internet solution,Sports,10219.69,41,436
79,Sharable mobile array,Beauty,25295.18,17,463
80,Phased grid-enabled installation,Electronics,4660.31,28,424
81,Managed fresh-thinking secured line,Beauty,2252.13,22,394
82,Customer-focused cohesive groupware,Books,31873.81,17,82
83,Open-source system-worthy methodology,Grocery,27606.44,28,287
84,Horizontal stable initiative,Electronics,5638.1,45,462
85,Virtual neutral alliance,Books,27302.23,24,298
86,Persevering background functionalities,Automotive,7447.28,9,21
87,Function-based fresh-thinking budgetary management,Beauty,18264.34,3,460
88,Visionary impactful migration,Sports,10543.32,16,341
89,Adaptive stable moratorium,Clothing,17716.25,36,452
90,Persistent incremental application,Toys,48693.16,48,79
91,Ergonomic multi-state hierarchy,Home & Kitchen,43237.05,12,451
92,Secured web-enabled methodology,Toys,1288.08,48,473
93,Self-enabling leadingedge task-force,Sports,39130.21,27,410
94,Business-focused demand-driven flexibility,Home & Kitchen,13376.95,45,55
95,Reactive clear-thinking forecast,Toys,43614.73,31,113
96,Organic tangible matrix,Home & Kitchen,40838.5,30,179
97,Decentralized 4thgeneration product,Beauty,41035.79,15,114
98,Robust disintermediate strategy,Electronics,33018.66,26,168
99,Diverse fault-tolerant neural-net,Beauty,43224.43,50,142
100,Advanced neutral installation,Sports,32092.01,26,347
101,Cross-group directional budgetary management,Automotive,16590.94,2,59
102,Persistent bottom-line project,Beauty,8969.46,17,19
103,Distributed modular structure,Clothing,29848.73,23,373
104,Implemented multimedia strategy,Sports,21847.87,33,59
105,Future-proofed intangible matrices,Toys,44980.26,13,130
106,Phased dynamic knowledgebase,Electronics,35453.82,1,266
107,Reactive client-server info-mediaries,Automotive,34358.51,48,377
108,Ergonomic radical migration,Home & Kitchen,18242.86,5,485
109,User-friendly client-driven architecture,Sports,31176.61,43,434
110,Grass-roots zero administration utilization,Clothing,36001.73,20,259
111,Operative global toolset,Beauty,33361.3,21,206
112,Profit-focused encompassing ability,Beauty,27742.9,13,215
113,Horizontal uniform framework,Toys,33882.03,12,315
114,Reverse-engineered optimal protocol,Health,15082.45,36,426
115,Pre-emptive coherent knowledge user,Electronics,15228.55,14,220
116,Public-key mission-critical hardware,Health,30352.75,21,238
117,Managed neutral task-force,Grocery,22135.88,14,261
118,Quality-focused homogeneous knowledgebase,Grocery,39697.08,48,86
119,Inverse content-based standardization,Clothing,14225.13,43,324
120,Front-line object-oriented info-mediaries,Health,16792.65,49,120
121,Focused zero-defect installation,Beauty,11270.8,13,75
122,Balanced foreground synergy,Electronics,2358.38,31,312
123,Phased tertiary workforce,Clothing,22798.04,41,294
124,Multi-tiered human-resource protocol,Home & Kitchen,35931.38,25,253
125,Streamlined coherent methodology,Toys,12237.02,42,352
126,Automated clear-thinking middleware,Electronics,44638.36,50,453
127,Reverse-engineered full-range attitude,Clothing,38932.1,15,90
128,Organic bandwidth-monitored moderator,Automotive,23254.27,36,127
129,Persevering 24/7 success,Clothing,22850.27,30,341
130,Digitized incremental projection,Automotive,49395.23,39,162
131,Distributed asynchronous leverage,Grocery,30651.98,47,456
132,Fundamental global process improvement,Automotive,21365.7,36,228
133,Team-oriented hybrid projection,Books,37195.59,31,230
134,Configurable full-range service-desk,Beauty,37601.25,41,141
135,Public-key homogeneous functionalities,Automotive,24255.62,16,140
136,Self-enabling transitional task-force,Grocery,3920.29,19,120
137,Pre-emptive needs-based alliance,Beauty,16825.58,35,41
138,Secured asymmetric encoding,Books,7583.99,25,355
139,Self-enabling systemic forecast,Books,35335.64,5,212
140,Focused value-added array,Toys,16577.53,30,212
141,Optional bandwidth-monitored task-force,Electronics,10381.38,27,199
142,Sharable tertiary attitude,Health,47305.8,2,438
143,Organic composite solution,Health,19050.03,1,482
144,Innovative 4thgeneration analyzer,Sports,14965.7,25,436
145,Inverse analyzing frame,Toys,26934.12,48,279
146,Multi-channeled holistic Internet solution,Health,44895.68,32,112
147,Digitized dynamic moderator,Beauty,21820.01,2,199
148,Open-source non-volatile software,Sports,33460.24,26,370
149,Enterprise-wide composite conglomeration,Books,42033.26,9,318
150,Configurable reciprocal implementation,Automotive,1396.97,26,303
151,Secured systemic encoding,Health,33166.84,6,329
152,Proactive optimal circuit,Toys,6828.19,30,93
153,Focused maximized productivity,Electronics,13044.81,21,108
154,Function-based logistical extranet,Grocery,16375.95,49,450
155,Synchronized 24/7 website,Toys,13948.92,27,129
156,Persistent executive service-desk,Clothing,23541.83,48,276
157,Quality-focused cohesive archive,Electronics,49995.4,23,114
158,Organic grid-enabled parallelism,Clothing,39072.59,42,20
159,Innovative scalable interface,Electronics,47483.11,13,429
160,Team-oriented eco-centric knowledgebase,Electronics,31085.72,16,64
161,Innovative dedicated info-mediaries,Grocery,33489.47,37,485
162,Polarized bi-directional encoding,Home & Kitchen,23278.45,17,392
163,Multi-tiered object-oriented help-desk,Sports,8431.07,39,493
164,Re-engineered explicit standardization,Clothing,38900.7,11,493
165,Implemented 3rdgeneration protocol,Beauty,5449.53,2,475
166,Object-based even-keeled access,Beauty,28811.05,25,203
167,Re-contextualized systemic time-frame,Home & Kitchen,3846.02,45,425
168,User-friendly actuating portal,Home & Kitchen,5139.97,50,154
169,User-friendly modular forecast,Health,40286.12,37,400
170,Vision-oriented discrete portal,Electronics,17392.83,28,338
171,Multi-channeled directional productivity,Sports,3494.39,42,174
172,Ergonomic regional extranet,Electronics,42486.3,32,54
173,Synergistic web-enabled success,Toys,48041.34,41,456
174,Visionary stable software,Grocery,35380.07,28,90
175,Devolved responsive attitude,Automotive,48275.41,18,315
176,Self-enabling secondary analyzer,Automotive,38743.34,30,223
177,Integrated zero tolerance intranet,Health,13456.36,16,425
178,Automated optimal hierarchy,Clothing,13982.47,29,124
179,Upgradable clear-thinking array,Grocery,28513.99,43,194
180,Implemented fresh-thinking synergy,Sports,1483.56,21,93
181,Operative context-sensitive customer loyalty,Grocery,10645.39,17,174
182,De-engineered zero tolerance moratorium,Beauty,44021.98,45,450
183,Multi-lateral multi-tasking middleware,Beauty,27811.76,34,485
184,Future-proofed composite extranet,Home & Kitchen,4326.37,47,208
185,Polarized explicit synergy,Grocery,27781.05,16,353
186,Mandatory bifurcated Local Area Network,Grocery,32312.85,32,229
187,Compatible client-server system engine,Electronics,4698.01,15,207
188,Face-to-face systematic success,Home & Kitchen,15344.99,38,188
189,Synergistic hybrid website,Grocery,27695.97,23,217
190,Realigned high-level array,Automotive,16573.03,45,232
191,Object-based 24/7 firmware,Beauty,15365.82,15,61
192,Public-key bottom-line knowledgebase,Home & Kitchen,15811.62,48,274
193,Multi-layered systematic synergy,Books,9617.47,48,247
194,Synergistic empowering paradigm,Beauty,36243.02,49,268
195,Multi-tiered scalable hub,Health,14185.79,7,426
196,Customer-focused systematic emulation,Home & Kitchen,14847.51,24,91
197,Phased 4thgeneration process improvement,Beauty,756.71,35,64
198,Realigned fresh-thinking pricing structure,Beauty,2323.51,4,283
199,Face-to-face secondary architecture,Beauty,34886.0,9,326
200,Sharable maximized standardization,Grocery,5174.25,1,293
